Date,Parent Category,Subcategory,Source,Merchant,Project,Client,Description,Tax 1 Amount,Tax 1 Type,Tax 2 Amount,Tax 2 Type,Amount,Currency,Cost of Goods Sold
2022-10-31,Professional Services,Professional Services (general),Jessica Mingo,IMMODOM,,CASA CAPRIOLO,Copro dues 4th quarter,0.00,,0.00,,4856.81,EUR,No
2022-10-31,Contractors,Contractors (general),Jessica Mingo,TOP PISCINE,,CASA CAPRIOLO,"Pool maintenance and cleaning monthly fee
September 2022",4.00,TGCA,0.00,,104.00,EUR,No
2022-10-31,Supplies,Supplies (general),Jessica Mingo,SXM LES HALLES,,CASA CAPRIOLO,BATHROOM TISSUE - AUG 2022,0.00,,0.00,,35.20,EUR,No
2022-10-31,Other Expenses,HOUSING INSURANCE,Jessica Mingo,GRAS SAVOYE,,CASA CAPRIOLO,HOUSE INSURANCE,0.00,,0.00,,5245.67,EUR,No
2022-10-31,Utilities,Utilities (general),Jessica Mingo,DAUPHIN TELECOM,,CASA CAPRIOLO,MOBILE TELEPHONE SERVICE OCTOBER 2022,2.69,TGCA,0.00,,69.90,EUR,No
2022-10-31,Contractors,Contractors (general),Jessica Mingo,TMS,,CASA CAPRIOLO,REPAIR EXTERIOR FENCE,3.60,TGCA,0.00,,93.60,EUR,No
2022-10-31,Other Expenses,Taxes & Licenses,Jessica Mingo,TRESOR PUBLIC,,CASA CAPRIOLO,PROPERTY TAX 2022,0.00,,0.00,,2451.00,EUR,No
2022-10-31,Contractors,Contractors (general),Jessica Mingo,HOPE GARDEN,,CASA CAPRIOLO,GARDEN UPKEEP OCTOBER 2022,21.15,TGCA,0.00,,550.00,EUR,No
2022-10-31,Contractors,Contractors (general),Jessica Mingo,GVC,,CASA CAPRIOLO,INSPECTION - MR MUSTAFA,1.80,TGCA,0.00,,46.80,EUR,No
2022-10-31,Contractors,Contractors (general),Jessica Mingo,GVC,,CASA CAPRIOLO,OPEN/UNLOCK HOUSE FOR CLIENTS - MR JANSEN,1.80,TGCA,0.00,,46.80,EUR,No
2022-10-31,Other Expenses,Wages,Jessica Mingo,CHARLES THELMA,,CASA CAPRIOLO,SALARY OCTOBER 2022,0.00,,0.00,,1147.75,EUR,No
2022-10-31,Contractors,Contractors (general),Jessica Mingo,M.S.M (MICHEL MARTINEZ),,CASA CAPRIOLO,MAINTENANCE OCTOBER 2022,0.00,,0.00,,310.19,EUR,No
