Date,Parent Category,Subcategory,Source,Merchant,Project,Client,Description,Tax 1 Amount,Tax 1 Type,Tax 2 Amount,Tax 2 Type,Amount,Currency,Cost of Goods Sold
1/31/2023,Contractors,Contractors (general),Jessica Mingo,M.S.M (MICHEL MARTINEZ),,Villa LUNE DE MIEL - CHAMPAGNE,installation of a mosquito net,1.8,TGCA,0,,46.8,EUR,No
1/31/2023,Contractors,Contractors (general),Jessica Mingo,GVC,,Villa LUNE DE MIEL - CHAMPAGNE,"villa inspection prior to the guest arrival
Guest: Murphy",1.8,TGCA,0,,46.8,EUR,No
1/31/2023,Contractors,Contractors (general),Jessica Mingo,GVC,,Villa LUNE DE MIEL - CHAMPAGNE,"villa inspection prior to the guest arrival 
guest: Castarede",1.8,TGCA,0,,46.8,EUR,No
1/31/2023,Contractors,Contractors (general),Jessica Mingo,GVC,,Villa LUNE DE MIEL - CHAMPAGNE,"Villa inspection prior to the guest arrival 
guest: Baskes",1.8,TGCA,0,,46.8,EUR,No
1/31/2023,Contractors,Contractors (general),Jessica Mingo,CYRILLE BELLEI CLIMATISATION,,Villa LUNE DE MIEL - CHAMPAGNE,Air conditionner replacement,72.4,TGCA,0,,1882.4,EUR,No
1/31/2023,Utilities,Utilities (general),Jessica Mingo,EDF,,Villa LUNE DE MIEL - CHAMPAGNE,Electricity 16/11/2022 - 16/01/2023,0,,0,,1068.72,EUR,No
1/31/2023,Supplies,Supplies (general),Jessica Mingo,SXM LES HALLES,,Villa LUNE DE MIEL - CHAMPAGNE,Bath tissue delivery to the villa,0,,0,,41.7,EUR,No
1/31/2023,Utilities,Utilities (general),Jessica Mingo,THDTEL,,Villa LUNE DE MIEL - CHAMPAGNE,Internet JAN-FEV-MARS 2023,8.64,TGCA,0,,224.64,EUR,No
1/31/2023,Other Expenses,HOUSING INSURANCE,Jessica Mingo,ALLIANZ,,Villa LUNE DE MIEL - CHAMPAGNE,"Housing insurance monthly fee 
15/01/2023",0,,0,,420.78,EUR,No
1/31/2023,Contractors,Contractors (general),Jessica Mingo,GVC,,Villa LUNE DE MIEL - CHAMPAGNE,"Villa inspetion prior to the guest arrival 
Guest: Birkahan",1.8,TGCA,0,,46.8,EUR,No
1/31/2023,Contractors,Contractors (general),Jessica Mingo,GVC,,Villa LUNE DE MIEL - CHAMPAGNE,"Villa inspection prior to the guest arrival 
Guest: Chen",1.8,TGCA,0,,46.8,EUR,No
1/31/2023,Contractors,Contractors (general),Jessica Mingo,GVC,,Villa LUNE DE MIEL - CHAMPAGNE,"Villa inspection prior to the guest arrival 
Guest: Nagy",1.8,TGCA,0,,46.8,EUR,No
1/31/2023,Contractors,Contractors (general),Jessica Mingo,GVC,,Villa LUNE DE MIEL - CHAMPAGNE,"Villa inspection prior to the guest arrival 
Guest: Gutterman",1.8,TGCA,0,,46.8,EUR,No
1/31/2023,Contractors,Contractors (general),Jessica Mingo,TMS,,Villa LUNE DE MIEL - CHAMPAGNE,Villa maintenance fee and supplies purchasing ( light Bulb),2.4,TGCA,0,,62.4,EUR,No
2/1/2023,Supplies,Contractors (general),Jessica Mingo,Un autre client,,Villa LUNE DE MIEL - CHAMPAGNE,Villa maintenance fee and supplies purchasing ( light Bulb),3.4,TGCA,0,,6244444444,EUR,No
2/2/2023,Contractors,Contractors (general),Jessica Mingo,Some other client,,Villa LUNE DE MIEL - CHAMPAGNE,Villa maintenance fee and supplies purchasing ( light Bulb),4.4,TGCA,0,,62444444444,EUR,No
